Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  ₹,Sales,Variation Sales Strength (1 - 10),Recent Purchases,Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  ₹,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
1,Audio Array AI-04 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red,B0BPLZ5CGV,https://www.amazon.in/dp/B0BPLZ5CGV?psc=1,https://m.media-amazon.com/images/I/51W18VdbcsL._SX569_.jpg,Audio Array,"4,698",667,0,400,"37,07,465.92",196,86,N/A,795.06,3,4,"1,047",9,28,Cocoblu Retail,Musical Instruments,Standard Size,FBA,26.29 x 6.91 x 14.30 cm,0.83,N/A,"Dec 9, 2022",,No,38,Cocoblu Retail
2,"Arturia MiniFuse 1, 1in / 2out USB-C Audio Interface, with 1 Mic/Line/Instrument Preamp, Built-in USB Hub, Loopback and Included Software Bundle - Mac/PC (White)",B09HL4T36F,https://www.amazon.in/dp/B09HL4T36F?psc=1,https://m.media-amazon.com/images/I/31ko-4OknzL._SX522_.jpg,Arturia,"9,990",187,0,40,"23,08,851.88",161,402,N/A,"1,477.24",6,4.6,"2,137",8,34,SOUNDGLITZ,Musical Instruments,Standard Size,FBA,17.30 x 5.00 x 13.60 cm,0.46,N/A,"Oct 10, 2021",,No,52,SOUNDGLITZ
3,Behringer U-PHORIA UM2 2 x 2 Audio interfacce with USB 2.0,B00EK1OTZC,https://www.amazon.in/dp/B00EK1OTZC?psc=1,https://m.media-amazon.com/images/I/61iou9KKssL._SX355_.jpg,Behringer,"6,399",115,0,N/A,"5,43,932.36",58,434,N/A,N/A,3,4.1,"17,372",1,44,,Musical Instruments,Standard Size,MFN,21.20 x 8.90 x 15.60 cm,0.54,N/A,"Dec 31, 2025",,No,2,
4,Focusrite Scarlett Solo (3rd Gen) USB Audio Interface,B07QR6Z1JB,https://www.amazon.in/dp/B07QR6Z1JB?psc=1,https://m.media-amazon.com/images/I/613veRuWtmL._SX355_.jpg,Focusrite,"12,600",105,0,50,"14,30,294.97",53,463,N/A,"1,816.02",1,4.6,"28,128",15,119,SOUNDGLITZ,Musical Instruments,Standard Size,FBA,16.40 x 5.40 x 13.20 cm,0.45,N/A,"Jun 27, 2019",,No,80,SOUNDGLITZ
5,"Scalebee Audio Guitar Interface AMP I-Rig Converter Replacement Guitar for Phone Guitar Audio Interface Phone Tuner Lightweight Audio Adapter for iPhone, iPad Smartphones (Guitar Audio Interface)",B0FQP6THVL,https://www.amazon.in/dp/B0FQP6THVL?psc=1,https://m.media-amazon.com/images/I/41dX9CzuRlL._SY450_.jpg,Scalebee,285,69,0,50,"19,889.60",195,503,N/A,147.62,1,3.6,8,9,1,Technogazet,Musical Instruments,Standard Size,FBA,12.20 x 2.60 x 10.70 cm,0.04,N/A,"Sep 11, 2025",,No,5,Technogazet
6,"i-Ring Guitar Audio Interface Adapter | Portable Guitar to Phone Converter | Guitar Interface for iPhone, iPad, Android Smartphones & Tablets | Lightweight Audio Adapter for Recording",B0FY6NJ921,https://www.amazon.in/dp/B0FY6NJ921?psc=1,https://m.media-amazon.com/images/I/412lBpJhrjL._SY355_.jpg,MESHIV,347,213,0,100,"73,902.45",183,509,N/A,N/A,1,4.5,9,9,3,Be Digital Online LLP,Musical Instruments,N/A,FBA,N/A,N/A,N/A,"Oct 29, 2025",,No,4,Be Digital Online LLP
7,"Audient iD4 (MKII) 2in/2out High-Performance USB 3.0 Audio Interface with Audient Console Mic Preamp, Dual Headphone Outputs, DI Instrument Input, ScrollControl Feature, & Free Software Bundle - Mac/Win/iOS Compatible",B08SBSN88X,https://www.amazon.in/dp/B08SBSN88X?psc=1,https://m.media-amazon.com/images/I/61ahr5MaWRL._SX425_.jpg,Audient,"17,818",172,0,50,"36,67,846.41",217,514,N/A,"2,463.82",8,4.5,"2,528",7,29,Cocoblu Retail,Musical Instruments,Standard Size,FBA,18.30 x 9.20 x 15.40 cm,0.87,N/A,"Jan 8, 2021",,No,61,Cocoblu Retail
8,Guitar Audio Interface Adapter Guitar To Phone Converter Guitar Interface For Iphone Ipad Android Smartphones Tablets Lightweight Audio Adapter For Recording,B0GJSK6GPJ,https://www.amazon.in/dp/B0GJSK6GPJ?psc=1,https://m.media-amazon.com/images/I/31rNWU6IgyL.jpg,Casa C,599,15,0,10,"8,998.17",157,556,N/A,166.32,1,N/A,0,9,0,CRAFTELLA,Musical Instruments,Standard Size,FBA,3.00 x 2.00 x 6.00 cm,0.08,N/A,"Jan 26, 2026",,No,1,CRAFTELLA
9,"Audient EVO 4 Professional 2in/2out USB Audio Interface for Recording, Live Streaming, Gaming & Podcasting with 48V Phantom Power, Dual XLR, Line & DI Input Plus SmartGain Feature & Free Software Bundle",B084ZJV87H,https://www.amazon.in/dp/B084ZJV87H?psc=1,https://m.media-amazon.com/images/I/51hpaPMB6rL._SX569_.jpg,Audient,"13,490",90,0,50,"15,21,494.84",202,428,N/A,"1,902.04",2,4.4,"1,180",9,12,Cocoblu Retail,Musical Instruments,Standard Size,FBA,18.70 x 9.70 x 10.50 cm,0.62,N/A,"Feb 20, 2020",,No,72,Cocoblu Retail
10,"M-Audio M-Track Duo – USB Audio Interface for Recording, Streaming and Podcasting with Dual XLR, Line & DI Inputs, plus a Software Suite Included",B08Q1V77NR,https://www.amazon.in/dp/B08Q1V77NR?psc=1,https://m.media-amazon.com/images/I/81riOGaUF6L._SX466_.jpg,M-AUDIO,"7,499",90,0,N/A,"6,22,636.34",145,598,N/A,"1,153.91",3,4.2,"13,262",7,126,MUSIC Mantra,Musical Instruments,Standard Size,FBA,23.19 x 9.70 x 15.29 cm,0.52,N/A,"Dec 23, 2020",,No,62,MUSIC Mantra
11,Arvox USB Audio Interface 2x2 Gen 3 | 2-In 2-Out | Premium Mic Pre-Amps | 48V Phantom Power | 24-bit/192kHz Recording | XLR/Mic/Line Inputs | Plug & Play | Metal Body | Red,B0FPGLVS5M,https://www.amazon.in/dp/B0FPGLVS5M?psc=1,https://m.media-amazon.com/images/I/51VOdSGoP7L._SY450_.jpg,ARVOX,"3,969",59,0,30,"2,34,827.29",172,618,N/A,695.72,1,3.9,16,7,2,ClickCarts,Musical Instruments,Standard Size,FBA,26.60 x 7.10 x 14.70 cm,0.86,N/A,"Sep 2, 2025",,No,5,ClickCarts
12,"Audio Interface AMP iRig from for iPod Touch, iPhone, and iPad, 7 X 2 X 2 cm",B0F18X4CL5,https://www.amazon.in/dp/B0F18X4CL5?psc=1,https://m.media-amazon.com/images/I/41d0lzD7EkL._SX569_.jpg,SUKHAD,298,74,0,50,"22,116.68",76,629,N/A,N/A,1,3.6,42,8,4,SukhadShop,Musical Instruments,Standard Size,FBA,12.80 x 3.20 x 6.70 cm,0.04,N/A,"Sep 13, 2021",,No,53,SukhadShop
13,Guitar I-Rig Guitar Link Audio Interface System AMP Amplifier Guitar Effects Pedal Convertor Adapter Cable Jack for iPhone iPad iPod,B0FHJB6H31,https://www.amazon.in/dp/B0FHJB6H31?psc=1,https://m.media-amazon.com/images/I/41Q1v5cpJEL._SY450_.jpg,VPGS,299,20,0,20,"6,077.35",132,639,N/A,172.21,1,N/A,0,9,0,DHRUVI-CREATION.,Musical Instruments,Standard Size,FBA,8.00 x 32.00 x 8.00 cm,0.48,N/A,"Jul 15, 2025",,No,7,DHRUVI-CREATION.
14,"MAONO Gaming Audio Podcast Mixer, Streaming RGB PC Mixer with XLR Microphone Interface, Bluetooth, Volume Fader, Mute Button, 48V Phantom Power, for Podcast/Recording/Vocal/Game Voice-G1 NEO, Black",B0D1Y8S9WF,https://www.amazon.in/dp/B0D1Y8S9WF?psc=1,https://m.media-amazon.com/images/I/717c0MDwl-L._SX425_.jpg,MAONO,"3,899",63,0,N/A,"2,43,750.82",197,662,N/A,686.63,1,4.4,304,9,9,Cocoblu Retail,Musical Instruments,Standard Size,FBA,18.60 x 8.20 x 16.20 cm,0.55,N/A,"Jun 5, 2024",,No,20,Cocoblu Retail
15,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke",B0CM6NTWBP,https://www.amazon.in/dp/B0CM6NTWBP?psc=1,https://m.media-amazon.com/images/I/71+IsroeESL._SY355_.jpg,Audio Array,"2,999",217,0,N/A,"4,68,550.48",200,235,N/A,N/A,3,3.8,320,8,8,Cocoblu Retail,Musical Instruments,Standard Size,FBA,25.30 x 5.70 x 15.00 cm,0.48,N/A,"Oct 31, 2023",,No,28,Cocoblu Retail
16,"Focusrite Scarlett 2i2 4th Gen, USB audio interface for recording, composing, streaming, and podcaster - sound recordings and all the software to record",B0C5JRTS3Y,https://www.amazon.in/dp/B0C5JRTS3Y?psc=1,https://m.media-amazon.com/images/I/51qJYqPV1YL._SX425_.jpg,Focusrite,"23,868",57,0,40,"13,78,683.53",152,732,N/A,"3,278.61",6,4.6,"2,037",6,68,Cocoblu Retail,Musical Instruments,Standard Size,FBA,21.20 x 6.40 x 16.60 cm,0.85,N/A,"Aug 31, 2023",,No,30,Cocoblu Retail
