"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"SANMARINO Luxury Travel Pillow Blanket – Ultra-Soft Flannel, 2-in-1 Compact Design, 65x40 Inches – Plush & Portable Comfort for Travel, Flights & Camping with Carry Case, Navy Blue","B0F638498F","https://www.amazon.in/dp/B0F638498F?psc=1","https://m.media-amazon.com/images/I/51VWJ6Jte5L._SX569_.jpg","SANMARINO",836,"N/A",0,50,"N/A",180,"1,663","N/A","N/A",1,3.8,75,"N/A","N/A","ETrade Online","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
2.,"Billebon Travel Blanket Airplane Compact Soft Lightweight & Cozy Blanket with Soft Bag Pillowcase Packable Travel Blanket Perfect for Flight Car Bus Train (Grey, 6 Ft. X 3 Ft.)","B0D7MHYLGC","https://www.amazon.in/dp/B0D7MHYLGC?psc=1","https://m.media-amazon.com/images/I/81SYlKBVn6L._SX679_.jpg","Billebon",699,"N/A",0,"N/A","N/A",176,"1,197","N/A","N/A",2,3.6,259,"N/A","N/A","RetailEZ Pvt Ltd","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
3.,"AAZEEM Travel Blanket and Pillow - Ultra-Soft, Compact & Lightweight, 65x45 Inches, with Carry Case, Luggage Sleeve & Backpack Clip for Airplane Comfort","B0FXGBSM48","https://www.amazon.in/dp/B0FXGBSM48?psc=1","https://m.media-amazon.com/images/I/81Hg2yBodgL._SX466_.jpg","AAZEEM","1,134","N/A",0,10,"N/A",152,"5,823","N/A","N/A",1,5,4,"N/A","N/A","ETrade Online","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
4.,"Travel Blanket for Adults | Soft Polyester Travel Blanket in Navy Blue | Lightweight Blanket for Car, Train, Flight, Bus & Home Use | Portable Blanket for Travel & Indoor Comfort | 1 Pc (Navy Blue)","B0GHNGGMJG","https://www.amazon.in/dp/B0GHNGGMJG?psc=1","https://m.media-amazon.com/images/I/61MZvkdfRjL._SX569_.jpg","DEMANI HOMES",839,"N/A",0,"N/A","N/A",197,"7,226","N/A","N/A",2,5,2,"N/A","N/A","DEMANI HOMES","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","DEMANI HOMES"
5.,"Litume Fleece Compact FleeceTravel Blanket with Stuff Sack, Moisture Wicking and Breathable Airplane Blanket, Foldable Throw for Couch, Car Rides, Train, Camp, Backpacking, Traveling (E651)","B089GXHXVS","https://www.amazon.in/dp/B089GXHXVS?psc=1","https://m.media-amazon.com/images/I/61j3w1tLMpL._SX569_.jpg","Litume","N/A","N/A",0,"N/A","N/A",189,"12,823","N/A","N/A",1,4.6,"1,221","N/A","N/A",,"Bags, Wallets and Luggage","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
6.,"Nexlev Sherpa Waterproof Camping Blanket - Extra Thick and Warm Large Sherpa Fleece Outdoor Blanket for Camping Picnics Beaches Stadiums Pets - Washable and Windproof for Cold Weather TR-05 (Grey)","B0CFH6C6YM","https://www.amazon.in/dp/B0CFH6C6YM?psc=1","https://m.media-amazon.com/images/I/61KpXReB6BL._SX425_.jpg","nexlev","N/A","N/A",0,"N/A","N/A",196,"26,794","N/A","N/A",1,3.4,46,"N/A","N/A",,"Bags, Wallets and Luggage","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
7.,"AAZEEM Picnic Outdoor Blankets Waterproof Extra Large - Beach Mat Sand Free Foldable with Carry Strap | Portable Camping Blanket | Park Blanket for Grass Park, Hiking, Travel, Concerts, (White)","B0F8B5GKKR","https://www.amazon.in/dp/B0F8B5GKKR?psc=1","https://m.media-amazon.com/images/I/91X-FfcwsqL._SX569_.jpg","AAZEEM",339,"N/A",0,"N/A","N/A",193,"28,909","N/A","N/A",1,4,3,"N/A","N/A","ETrade Online","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","ETrade Online"
8.,"Upstuffs Travel Blanket Airplane/Compact Airline Lightweight Blanket/Travel Accessories for Airplane/Travel Blanket with Storage Bag and Handle Belt/Blanket & Pillow for Travel (Grey)","B0CTHKH4C3","https://www.amazon.in/dp/B0CTHKH4C3?psc=1","https://m.media-amazon.com/images/I/71DBekS+W9L._SX466_.jpg","EQRACARE","N/A","N/A",0,"N/A","N/A",183,"29,907","N/A","N/A",1,4.1,12,"N/A","N/A",,"Bags, Wallets and Luggage","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",
9.,"Bhagalpuri Dull Chadar – Portable Travel Blanket, Pure Cotton Everyday Solid Color Comforter – 240 × 135 cm (FIROZI)","B0FRZBL1ZM","https://www.amazon.in/dp/B0FRZBL1ZM?psc=1","https://m.media-amazon.com/images/I/51HrYDUPo4L._SY450_.jpg","MANIYAR COLLECTION",455,"N/A",0,"N/A","N/A",116,"40,152","N/A","N/A",1,"N/A",0,"N/A","N/A","MANIYAR COLLECTION","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","MANIYAR COLLECTION"
10.,"BlueHills Premium Soft Travel Blanket Pillow Airplane Flight Blanket throw in Soft Bag Pillow case with Hand Luggage Belt and Backpack Clip Compact Pack Large Blanket for Travel Grey Color (Gray T007)","B07PJL9Z2N","https://www.amazon.in/dp/B07PJL9Z2N?psc=1","https://m.media-amazon.com/images/I/81NPZ3qQz5L._SY355_.jpg","BlueHills","5,941.8","N/A",0,"N/A","N/A",200,"39,796","N/A","N/A",1,4.6,"2,625","N/A","N/A","Happy Noon","Bags, Wallets and Luggage","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Happy Noon"
