"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"GRENARO Mic for YouTube Wireless, 3-Level Adjustable Noise Reduction Mic Wireless, S12 Wireless Microphone for Youtubers with LED Indicator Light (Dual Channel Type-C Port Version)","B0DQD8BZLB","https://www.amazon.in/dp/B0DQD8BZLB?psc=1","https://m.media-amazon.com/images/I/71uDf5pX-UL._SY450_.jpg","GRENARO",995,"N/A",0,"5,000","N/A",180,1,"N/A","N/A",1,4,"2,777","N/A","N/A","GRENARO ProMic Creations","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GRENARO ProMic Creations"
2.,"Hollyland Lark A1 Duo Wireless Magnetic Microphone for iPhone15/16/iPad/Android Phone, Mini Wireless Mic with 3-Lv Noise Cancel, EQ&Reverb, 6-Lv Gain Control for YouTube Podcast Vlog Content Creation","B0FMFDSLDP","https://www.amazon.in/dp/B0FMFDSLDP?psc=1","https://m.media-amazon.com/images/I/61LVm6EDHrL._SY450_.jpg","Hollyland","5,499","N/A",0,"1,000","N/A",199,9,"N/A","N/A",1,4.1,"3,796","N/A","N/A","Hollyland Official - Green Ideas","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Hollyland Official - Green Ideas"
3.,"GRENARO P10 Wireless Mic for Youtubers with 3-Level Noise Reduction, Mic for YouTube Wireless with 40H Charging Case, Compatible with Devices Featuring Type-C and Lightning Ports Devices","B0DCJXXKRR","https://www.amazon.in/dp/B0DCJXXKRR?psc=1","https://m.media-amazon.com/images/I/71DlCSBdKpL._SX466_.jpg","GRENARO","2,199","N/A",0,700,"N/A",186,11,"N/A","N/A",1,3.8,"1,001","N/A","N/A","GRENARO ProMic Creations","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GRENARO ProMic Creations"
4.,"Hollyland Lark M2 Wireless Microphone for iPhone15/16 & Androids, Mini Microphone, 1000ft Range, Hi-Fi Audio, Noise Cancelling, 30h Use, Video Recording (2TX + USB-C RX + Charging Case)","B0FMS32XWG","https://www.amazon.in/dp/B0FMS32XWG?psc=1","https://m.media-amazon.com/images/I/71enGNvpFyL._SY450_.jpg","HollyView","10,299","N/A",0,"1,000","N/A",185,13,"N/A","N/A",1,4.1,"8,989","N/A","N/A","Hollyland Official - Green Ideas","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Hollyland Official - Green Ideas"
5.,"GRENARO J13 Wireless Mic, Noise Reduction Lapel Mic with Charging Case, Wireless Mic for Video Recording, YouTube, Facebook, Support System for Type C & iPhone (Dual Channel Universal Version)","B09ZV5JHVR","https://www.amazon.in/dp/B09ZV5JHVR?psc=1","https://m.media-amazon.com/images/I/61JBh+juL3L._SX425_.jpg","GRENARO","1,898","N/A",0,800,"N/A",192,"1,422","N/A","N/A",2,3.8,"6,185","N/A","N/A","GRENARO ProMic Creations","Electronics","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GRENARO ProMic Creations"
6.,"Digitek® (DWM-115 2-in-1 Wireless Microphone, 2.4GHz, Magnetic Clip, Noise Reduction Lavalier Mic, 40m Range, 6Hr Battery, 360° Sound Capture for iOS & Android, Ideal Video Recording, Vlogging","B0DH8BSWYF","https://www.amazon.in/dp/B0DH8BSWYF?psc=1","https://m.media-amazon.com/images/I/71ik7Y4bCvL._SY355_.jpg","Digitek","2,999","N/A",0,500,"N/A",192,17,"N/A","N/A",2,3.8,281,"N/A","N/A","Clicktech Retail Private Ltd","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
7.,"String Swing Wireless Microphone with Noise Cancellation, Collar Mic for YouTube Video Recording and Vlogging, Wireless Mic Compatible with DSLR, iOS and Android","B0GMBBXP3V","https://www.amazon.in/dp/B0GMBBXP3V?psc=1","https://m.media-amazon.com/images/I/71GPhbWuheL._SY450_.jpg","String Swing","6,999","N/A",0,"N/A","N/A",161,19,"N/A","N/A",1,4.8,"3,077","N/A","N/A","TENX COMMERCE","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","TENX COMMERCE"
8.,"VELOMAX Wireless Mic for YouTube - Ultra-Clear Noise Reduction, 30M Stable Connection, Zero Latency, Plug & Play, Perfect Wireless mic for Youtubers Creators. (Single Mic(Type C Port))","B0DXQGYM58","https://www.amazon.in/dp/B0DXQGYM58?psc=1","https://m.media-amazon.com/images/I/611IjUEHu7L._SX466_.jpg","VELOMAX",659,"N/A",0,900,"N/A",184,20,"N/A","N/A",1,4.3,858,"N/A","N/A","WinerMax","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","WinerMax"
9.,"GRENARO Wireless Mic for Youtubers, S11 3 in 1 Wireless Microphone for iPhone/Android/DSLR Camera/USB-C Plug/iPad, Noise Cancellation Mic for Youtubers, Video Recording, Streaming, 50M Range","B0DMV9KZ76","https://www.amazon.in/dp/B0DMV9KZ76?psc=1","https://m.media-amazon.com/images/I/71nxcnWu3yL._SX355_.jpg","GRENARO","1,185","N/A",0,"1,000","N/A",190,21,"N/A","N/A",1,4,612,"N/A","N/A","GRENARO Creators Gear","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GRENARO Creators Gear"
10.,"Digitek DWM-001 Wireless Microphone & Receiver with Type C, in-Built Noise Cancellation Mic Suitable for Vlog You Tube Live Streaming Video Recording and More","B0B8DK8GDW","https://www.amazon.in/dp/B0B8DK8GDW?psc=1","https://m.media-amazon.com/images/I/61eLKpNV1-L._SX466_.jpg","Digitek",699,"N/A",0,500,"N/A",158,22,"N/A","N/A",2,3.5,"2,778","N/A","N/A","Clicktech Retail Private Ltd","Musical Instruments","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Clicktech Retail Private Ltd"
